questionId,questionText,correctAnswer,studentAnswer,maxScore,teacherScore,label
770,Backend Developer là gì?,"Backend Developer phát triển logic xử lý, API, database, bảo mật và hiệu năng phía server để phục vụ dữ liệu cho frontend.","Backend Developer phát triển logic xử lý, API, database, bảo mật và hiệu năng phía server để phục vụ dữ liệu cho frontend.",10,8.5,correct
770,Backend Developer là gì?,"Backend Developer phát triển logic xử lý, API, database, bảo mật và hiệu năng phía server để phục vụ dữ liệu cho frontend.","Backend Developer là người viết code backend để tạo ra các api, db và bảo vệ hệ thống.",10,4,partial
770,Backend Developer là gì?,"Backend Developer phát triển logic xử lý, API, database, bảo mật và hiệu năng phía server để phục vụ dữ liệu cho frontend.",Backend Developer chỉ làm việc với backend không phải frontend hoặc mobile.,10,2,wrong
770,Backend Developer là gì?,"Backend Developer phát triển logic xử lý, API, database, bảo mật và hiệu năng phía server để phục vụ dữ liệu cho frontend.","Backend Developer phát triển logic xử lý, API, database, bảo mật và hiệu năng phía server để phục vụ dữ liệu cho frontend là một loại backend developer mới xuất hiện trong năm nay.",10,0,garbage
772,"Khác nhau giữa GET, POST, PUT, PATCH, DELETE?","GET: lấy dữ liệu

POST: tạo mới

PUT: cập nhật toàn bộ

PATCH: cập nhật một phần

DELETE: xóa tài nguyên",GET: lấy dữ liệu,10,9,correct
772,"Khác nhau giữa GET, POST, PUT, PATCH, DELETE?","GET: lấy dữ liệu

POST: tạo mới

PUT: cập nhật toàn bộ

PATCH: cập nhật một phần

DELETE: xóa tài nguyên",POST: tạo mới,10,6,partial
772,"Khác nhau giữa GET, POST, PUT, PATCH, DELETE?","GET: lấy dữ liệu

POST: tạo mới

PUT: cập nhật toàn bộ

PATCH: cập nhật một phần

DELETE: xóa tài nguyên",PUT: cập nhật toàn bộ,10,2,wrong
772,"Khác nhau giữa GET, POST, PUT, PATCH, DELETE?","GET: lấy dữ liệu

POST: tạo mới

PUT: cập nhật toàn bộ

PATCH: cập nhật một phần

DELETE: xóa tài nguyên",PATCH: cập nhật một phần,10,0,garbage
774,RESTful API là gì?,"RESTful API tuân theo các nguyên tắc REST: stateless, cacheable, client-server, resource-based, dùng HTTP method cho CRUD.",RESTful API là một kiểu API mà chúng tuân theo các nguyên tắc REST,10,9,correct
774,RESTful API là gì?,"RESTful API tuân theo các nguyên tắc REST: stateless, cacheable, client-server, resource-based, dùng HTTP method cho CRUD.","Các nguyên tắc của REST gồm stateless, cacheable, client-server, resource-based và HTTP method cho CRUD.",10,6.5,partial
