questionId,questionText,correctAnswer,studentAnswer,maxScore,teacherScore,label
1,Node.js là gì và tại sao nó phù hợp để xây dựng API?,"Node.js là môi trường chạy JavaScript phía server, hỗ trợ xử lý bất đồng bộ giúp API phản hồi nhanh và chịu tải tốt.","Node.js là một framework web cho phép xây dựng API. Nó sử dụng JavaScript để thực thi các câu lệnh bất đồng bộ, giảm thiểu lỗi trong quá trình xử lý dữ liệu.",10,10,correct
1,Node.js là gì và tại sao nó phù hợp để xây dựng API?,"Node.js là môi trường chạy JavaScript phía server, hỗ trợ xử lý bất đồng bộ giúp API phản hồi nhanh và chịu tải tốt.","Node.js là một ngôn ngữ lập trình đa ngôn ngữ được dùng rộng rãi trong việc phát triển ứng dụng web. Tuy nhiên, nó không phù hợp để xây dựng API.",10,5.5,partial
1,Node.js là gì và tại sao nó phù hợp để xây dựng API?,"Node.js là môi trường chạy JavaScript phía server, hỗ trợ xử lý bất đồng bộ giúp API phản hồi nhanh và chịu tải tốt.",Node.js không phải là môi trường chạy JavaScript phía server mà là dịch vụ cloud. Nó cũng không hỗ trợ xử lý bất đồng bộ và API.,10,1,wrong
1,Node.js là gì và tại sao nó phù hợp để xây dựng API?,"Node.js là môi trường chạy JavaScript phía server, hỗ trợ xử lý bất đồng bộ giúp API phản hồi nhanh và chịu tải tốt.","Node.js là một thư viện của JavaScript, cho phép tạo ứng dụng web theo kiểu Node.js. Tuy nhiên, nó không phù hợp để xây dựng API.",10,0,garbage
2,HTTP method nào dùng để tạo mới dữ liệu trên server? Giải thích ngắn gọn.,POST — dùng để gửi dữ liệu mới lên server để tạo bản ghi mới trong cơ sở dữ liệu.,POST,10,10,correct
2,HTTP method nào dùng để tạo mới dữ liệu trên server? Giải thích ngắn gọn.,POST — dùng để gửi dữ liệu mới lên server để tạo bản ghi mới trong cơ sở dữ liệu.,PUT,10,6,partial
2,HTTP method nào dùng để tạo mới dữ liệu trên server? Giải thích ngắn gọn.,POST — dùng để gửi dữ liệu mới lên server để tạo bản ghi mới trong cơ sở dữ liệu.,DELETE,10,0,wrong
2,HTTP method nào dùng để tạo mới dữ liệu trên server? Giải thích ngắn gọn.,POST — dùng để gửi dữ liệu mới lên server để tạo bản ghi mới trong cơ sở dữ liệu.,GET,10,0,garbage
3,Middleware trong Express.js có vai trò gì?,"Middleware xử lý logic trung gian như xác thực, parse dữ liệu… trước khi request đến controller hoặc trước khi trả response.","Middleware xử lý logic trung gian như xác thực, parse dữ liệu… trước khi request đến controller hoặc trước khi trả response.",10,9,correct
3,Middleware trong Express.js có vai trò gì?,"Middleware xử lý logic trung gian như xác thực, parse dữ liệu… trước khi request đến controller hoặc trước khi trả response.",Middleware là lớp mã xử lý giữa các hàm của Node.js và những ứng dụng client,10,0,garbage
3,Middleware trong Express.js có vai trò gì?,"Middleware xử lý logic trung gian như xác thực, parse dữ liệu… trước khi request đến controller hoặc trước khi trả response.",Middleware giúp giảm load cho server và tăng tốc độ truy cập website,10,6.5,partial
3,Middleware trong Express.js có vai trò gì?,"Middleware xử lý logic trung gian như xác thực, parse dữ liệu… trước khi request đến controller hoặc trước khi trả response.","Middleware có vai trò là một phần mềm quét web, tìm kiếm thông tin trên mạng",10,0,wrong
4,sadkjhfdsfkajfhajksfdhsdakjfhdasđ,fsdafdsafdsa,sadkjhfdsfkajfhajksfdhsdakjfhdasđ,10,0,garbage
4,sadkjhfdsfkajfhajksfdhsdakjfhdasđ,fsdafdsafdsa,sadkjhfdskjfdsafdsa,10,6,partial
4,sadkjhfdsfkajfhajksfdhsdakjfhdasđ,fsdafdsafdsa,sadfkdhsdfhaksfjdshsdafdsafdsad,10,0.5,wrong
4,sadkjhfdsfkajfhajksfdhsdakjfhdasđ,fsdafdsafdsa,sadkjhfdsfkajfhajksfdhsdakjfhdasđsdfsdafs,10,10,correct
6,JAVA LÀ GÌ,java là ngôn ngữ phát triển back end,java là ngôn ngữ lập trình toàn diện,1,1,correct
6,JAVA LÀ GÌ,java là ngôn ngữ phát triển back end,java là một ngôn ngữ lập trình hướng object,1,0.5,partial
6,JAVA LÀ GÌ,java là ngôn ngữ phát triển back end,java không phải là ngôn ngữ backend,1,0,wrong
